,age,workclass,fnlwgt,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country
4126,2.0570211247025885,3,-0.8649997034889906,9,2,11,0,4,1,2.651704105875146,-0.22296281257283612,-1.3290918054699647,38
19183,1.1076438220528073,1,0.4994472952151026,13,2,3,0,1,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,29
19860,-0.9227568960979422,1,0.4793100384962348,13,4,9,3,2,0,-0.3002123014789703,-0.22296281257283612,0.12787079168577406,38
29912,-1.2633453449544967,3,0.03340440917226303,10,4,11,3,4,0,-0.3002123014789703,-0.22296281257283612,-2.0575731040478344,38
28588,-1.5160643497827802,3,0.324449156529396,9,4,6,1,4,1,-0.3002123014789703,-0.22296281257283612,-0.43872577387479106,38
29017,-0.4341337751256561,3,-0.0028885492874886967,10,4,11,1,1,0,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
7643,0.13146279083665782,3,-2.6856595192717934,13,2,3,0,4,1,-0.3002123014789703,-0.22296281257283612,0.3706978912117306,38
15170,-0.4341337751256561,3,0.2984333499838384,13,4,9,1,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
30566,0.948858122266566,4,-0.3393344626870928,9,4,11,2,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
24201,1.0028014377679884,3,1.6225534139650892,10,0,3,1,4,1,-0.3002123014789703,-0.22296281257283612,1.584833388841513,38
20848,0.34255114341352566,1,0.10254755139416324,10,4,9,2,4,1,-0.3002123014789703,-0.22296281257283612,-2.7051120361170518,38
32302,-0.177521295996111,3,0.9228243108416881,9,2,6,0,4,1,-0.3002123014789703,-0.22296281257283612,0.3706978912117306,38
342,-1.0317117807033411,3,-0.5844113611397966,10,4,0,1,4,1,-0.3002123014789703,4.532573494613887,-0.034013941331530254,38
18950,-0.8179145118131231,3,-0.5292965504869905,13,4,11,3,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
22546,1.5358734023458271,3,1.0955112860640126,10,0,2,4,4,1,-0.3002123014789703,-0.22296281257283612,-1.490976538487269,38
23093,1.1586176092552094,3,-1.1708366772266483,9,2,7,2,1,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,29
22425,1.1586176092552094,3,1.2081809949412616,10,2,12,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
8198,0.7804433193933827,3,0.5744551393001381,11,0,7,1,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
7521,0.948858122266566,1,1.5384172610417088,13,2,9,0,4,1,-0.3002123014789703,-0.22296281257283612,0.3706978912117306,38
11719,-0.2604526323639866,3,-1.3894369782524099,6,4,6,1,4,0,-0.3002123014789703,-0.22296281257283612,0.3706978912117306,38
27581,1.0028014377679884,3,-0.5859040618660477,9,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,0.3706978912117306,7
13506,0.8938465531625894,3,-1.2671591151331685,13,0,11,1,4,1,-0.3002123014789703,-0.22296281257283612,0.3706978912117306,38
23318,0.273955227146647,3,-0.6001114419291949,7,0,7,2,4,0,-0.3002123014789703,-0.22296281257283612,-1.6528612715045734,38
22670,1.0028014377679884,3,-0.15586495062962638,13,0,11,1,4,1,-0.3002123014789703,-0.22296281257283612,1.584833388841513,38
31148,-0.4341337751256561,3,-1.6254336509144458,9,0,0,4,4,0,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
23993,0.7219570863477152,5,-0.9461604121081914,9,2,4,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.43872577387479106,38
4459,-0.9227568960979422,3,1.3684327073617493,7,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
17142,0.47486155198064567,0,0.9283184208833832,14,2,10,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.43872577387479106,38
1952,0.7804433193933827,6,0.4528365142287761,14,2,9,0,4,1,3.60921413168633,-0.22296281257283612,-0.034013941331530254,38
31262,-0.9227568960979422,3,-0.42720389918362434,13,4,3,4,1,1,-0.3002123014789703,-0.22296281257283612,1.584833388841513,39
7495,0.948858122266566,3,0.6281827117976564,10,0,0,4,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
18764,-1.2633453449544967,3,0.48200828771972415,9,4,5,1,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
6779,-0.177521295996111,3,0.5443799877405612,13,2,10,0,2,1,-0.3002123014789703,-0.22296281257283612,-0.8434376064180519,38
29541,-1.6516031067192836,3,1.029750198177275,10,4,13,3,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
4027,-0.6194019772687447,3,0.32160016233011474,15,0,9,3,4,0,2.823592099236035,-0.22296281257283612,2.556141786945339,38
4584,-1.1451150144725477,3,0.6562301794198594,9,4,5,4,2,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
30045,0.7804433193933827,4,-2.3783840502569897,13,2,3,0,4,1,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
287,-0.7168854341795278,1,0.14247932516362188,12,2,10,0,4,1,-0.3002123014789703,4.539492088594885,-0.034013941331530254,8
12475,1.0028014377679884,3,0.6887230101307636,7,2,7,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
28316,-1.1451150144725477,3,0.3762451597517138,11,4,0,1,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
26662,-1.5160643497827802,3,1.2400858353272723,9,4,5,1,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
10973,-1.9442939300758013,3,1.6264264458976276,7,4,11,3,4,0,-0.3002123014789703,-0.22296281257283612,-2.6241696696083996,25
14776,-0.2604526323639866,3,-1.309649080795916,9,4,13,2,1,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
22416,0.34255114341352566,3,0.28869333174904127,13,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
25678,-0.2604526323639866,3,-1.6110499643090566,11,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
13869,1.0557171988063494,3,-0.8769349116064247,9,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
26382,-0.4341337751256561,3,-0.9571620771482399,10,2,0,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
19824,-1.9442939300758013,3,-0.3191056546149061,7,4,9,3,4,0,-0.3002123014789703,-0.22296281257283612,-1.976630737539182,38
24576,-0.6194019772687447,3,-0.16163084253207927,10,2,3,3,2,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
10333,0.8938465531625894,3,1.4597145785756582,15,2,9,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.3577834073661389,38
21832,0.05737857487379639,3,0.1436425120326218,9,0,6,4,2,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
5568,-1.2633453449544967,3,0.36057799876363233,9,4,0,3,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
24489,0.5387262832392657,3,-0.030443442943520794,10,3,5,4,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,30
8063,-0.6194019772687447,3,-0.44799311619438115,9,2,13,0,0,1,-0.3002123014789703,-0.22296281257283612,1.9895452213847737,38
6898,0.5387262832392657,3,-0.5813012796683699,9,0,6,4,2,0,-0.3002123014789703,-0.22296281257283612,1.2610639228069043,38
8267,-0.2604526323639866,1,-0.1306213269733368,11,2,9,0,4,1,-0.3002123014789703,-0.22296281257283612,1.584833388841513,38
4558,0.13146279083665782,3,0.12110983450389769,9,2,11,0,4,1,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
19816,1.1076438220528073,3,1.2262083167606426,10,2,2,5,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
27113,-1.7940955430292727,3,1.4133644665230127,10,4,11,3,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
25026,-1.1451150144725477,3,0.5115211007713403,10,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,1.584833388841513,38
2746,-0.7168854341795278,5,0.42453780496152577,10,2,2,0,4,1,3.3157356852016164,-0.22296281257283612,-0.034013941331530254,38
7539,-1.2633453449544967,3,-2.7924747248421453,10,2,13,0,4,1,-0.3002123014789703,-0.22296281257283612,-1.3290918054699647,38
15089,-1.5160643497827802,3,-1.8450484264019151,10,4,0,1,4,0,-0.3002123014789703,-0.22296281257283612,-0.19589867434883457,38
29925,-1.7940955430292727,6,-1.5544894889431613,10,4,0,3,4,0,-0.3002123014789703,-0.22296281257283612,-2.0575731040478344,38
25819,1.4914245587402744,3,0.3681310366277662,9,6,2,4,2,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
16348,-0.177521295996111,3,-0.025273925699537066,9,2,13,0,4,1,-0.3002123014789703,-0.22296281257283612,0.3706978912117306,38
19707,-0.2604526323639866,3,-0.9623550376295357,9,4,7,4,2,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
29685,-0.3459360988692954,3,0.4041191134713148,11,2,12,0,4,1,-0.3002123014789703,-0.22296281257283612,0.3706978912117306,38
1145,-0.2604526323639866,3,0.5917597563408529,9,2,11,0,4,1,-0.3002123014789703,4.426715420635995,1.180121556298252,38
18991,-1.2633453449544967,3,-0.9575972000726649,9,4,11,3,4,1,-0.3002123014789703,-0.22296281257283612,-0.43872577387479106,38
27116,-0.5252236884566054,3,-1.9963292853087602,9,4,0,4,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
19208,0.5387262832392657,1,-0.2727114753039343,14,0,9,4,4,0,-0.3002123014789703,-0.22296281257283612,-1.976630737539182,38
13454,-1.6516031067192836,3,1.3197151855690419,10,4,0,3,4,0,-0.3002123014789703,-0.22296281257283612,-0.43872577387479106,38
15986,-1.1451150144725477,3,1.8143533015542772,9,4,7,3,2,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
1011,0.13146279083665782,1,-0.40900671882506995,13,4,3,4,1,1,-0.3002123014789703,4.452033314290749,-0.034013941331530254,39
28284,-0.9227568960979422,1,-0.006048736025226732,6,2,7,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
696,0.273955227146647,3,-0.07147872109882697,13,2,3,0,4,1,-0.3002123014789703,4.50740925251077,-0.6815528734007475,38
10718,0.273955227146647,3,-1.9007318658872785,9,4,0,4,2,0,-0.3002123014789703,-0.22296281257283612,-0.43872577387479106,38
20414,-0.9227568960979422,3,0.7619489491923884,13,4,0,3,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
31231,0.20362252216473475,3,1.210605445563254,9,0,11,1,4,1,-0.3002123014789703,-0.22296281257283612,1.584833388841513,38
20355,-1.0317117807033411,3,0.6290939215841024,10,4,7,3,2,1,-0.3002123014789703,-0.22296281257283612,0.12787079168577406,38
16086,2.1291808560306653,4,0.45063537599944953,7,2,3,0,4,1,-0.3002123014789703,-0.22296281257283612,-2.4622849365910953,38
16089,0.6622129889114339,1,0.02266970871797645,14,0,9,4,4,0,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,1
3327,-0.6194019772687447,3,-1.7951056186634804,9,2,7,5,4,0,3.1087938896845655,-0.22296281257283612,-0.034013941331530254,38
26078,-0.4341337751256561,3,-0.8901590480554924,9,4,3,3,4,1,-0.3002123014789703,-0.22296281257283612,1.584833388841513,38
16979,-1.7940955430292727,3,1.5554726248976418,9,4,14,4,2,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
10646,-0.9227568960979422,3,0.8696054571993743,10,2,10,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
18709,1.3536445806582365,3,-0.5333066661603239,9,4,2,1,2,1,-0.3002123014789703,-0.22296281257283612,1.584833388841513,38
20246,-0.3459360988692954,3,0.33737991505564924,9,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
18383,0.47486155198064567,5,-0.33195879960110186,13,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
9490,0.4094939840831503,3,-0.6215087267175295,9,0,11,1,4,0,-0.3002123014789703,-0.22296281257283612,0.12787079168577406,38
16901,-1.3868320506266634,3,1.2882738429654248,10,4,11,1,1,1,-0.3002123014789703,-0.22296281257283612,-1.6528612715045734,29
23102,-1.0317117807033411,3,1.124466343446894,9,4,0,1,2,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
4401,0.34255114341352566,0,-0.32421498117925657,13,2,12,0,4,1,-0.3002123014789703,-0.22296281257283612,-1.3290918054699647,38
1552,-0.2604526323639866,3,0.10110207345333559,16,0,11,1,4,1,4.37970160330825,-0.22296281257283612,1.584833388841513,38
32471,1.3061563565971845,1,0.5278068585783426,9,2,7,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
9803,-1.1451150144725477,3,-0.6306389953473474,9,4,11,1,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
3491,1.5796222349966338,3,0.6402008493290697,7,6,14,1,4,0,3.03680718164443,-0.22296281257283612,-0.43872577387479106,38
10183,-1.1451150144725477,1,0.7212176888679085,10,2,10,0,4,1,-0.3002123014789703,-0.22296281257283612,2.556141786945339,38
10203,-0.5252236884566054,3,0.09535383060472256,13,4,12,1,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
4794,-0.4341337751256561,1,1.4655063051361727,9,0,0,4,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
4555,-0.2604526323639866,3,0.8155963403560424,9,2,2,5,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
31118,-0.177521295996111,3,-1.9630946894942445,7,4,7,1,4,1,-0.3002123014789703,-0.22296281257283612,-0.8434376064180519,38
887,-1.2633453449544967,3,-0.18161525266274092,14,2,9,0,1,1,-0.3002123014789703,4.502451899793034,0.7754097237549914,18
5654,-0.9227568960979422,5,0.02876386108028883,9,4,11,3,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
22715,0.6622129889114339,3,0.37709274959388595,15,2,9,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
17534,-0.5252236884566054,3,-2.3762181274818825,12,2,11,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
31672,-0.9227568960979422,3,0.2642732652362083,9,0,0,3,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
24992,-0.0969941081635854,3,1.399812274547955,10,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
16295,-0.7168854341795278,3,0.31250782347345535,13,4,11,2,4,0,-0.3002123014789703,-0.22296281257283612,0.3706978912117306,38
26532,-0.177521295996111,3,-0.4181956497356218,9,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
28227,0.8938465531625894,1,0.03789558166421334,9,4,7,1,2,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
257,0.13146279083665782,0,0.7014664347663919,9,2,13,0,4,1,-0.3002123014789703,4.554632456918112,-0.034013941331530254,38
20780,0.8377235643761702,5,0.6549258077490331,9,0,7,4,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
6333,-0.3459360988692954,4,-0.5745716430178435,10,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
21542,-1.5160643497827802,3,1.2608875884383581,6,5,11,4,2,0,-0.3002123014789703,-0.22296281257283612,-0.19589867434883457,38
13162,-2.1030796298620413,3,0.4347255259803793,6,4,14,3,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
8308,-0.8179145118131231,5,-0.3176731205745749,6,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,0.6135249907376871,38
27269,-1.0317117807033411,3,-2.488718207418815,9,4,5,1,4,1,-0.3002123014789703,-0.22296281257283612,0.3706978912117306,38
15332,-0.7168854341795278,3,-1.8915160285488837,9,2,0,3,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
3043,-0.4341337751256561,3,1.7247341143295924,14,2,9,0,4,1,3.1762579154753734,-0.22296281257283612,-0.034013941331530254,38
10125,-1.3868320506266634,3,-0.5559179463443735,13,4,3,3,4,0,-0.3002123014789703,-0.22296281257283612,-2.7051120361170518,38
32267,0.5387262832392657,3,-2.512839023924471,9,2,3,0,0,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
4075,-0.177521295996111,3,0.6775540726985442,9,4,2,4,4,1,2.7969463240078376,-0.22296281257283612,-0.8434376064180519,38
13392,-1.0317117807033411,3,0.35242332841551594,9,2,0,5,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
23819,1.6226927637839295,3,-2.370045951867949,6,2,5,0,4,1,-0.3002123014789703,-0.22296281257283612,-1.490976538487269,38
17620,-1.0317117807033411,5,0.45605786619163047,10,4,2,3,4,1,-0.3002123014789703,-0.22296281257283612,3.203680719014556,38
17846,1.3061563565971845,3,-0.5204793433671768,14,2,9,0,4,1,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
13309,-1.6516031067192836,3,0.6062170166410873,10,4,11,3,2,0,-0.3002123014789703,-0.22296281257283612,-1.6528612715045734,38
19459,-0.177521295996111,4,1.2622341519192564,10,2,3,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
15000,-0.6194019772687447,3,0.28788865021083737,13,4,9,1,4,0,-0.3002123014789703,-0.22296281257283612,1.584833388841513,30
6194,-0.3459360988692954,1,0.9232754525242712,9,4,13,4,2,0,-0.3002123014789703,-0.22296281257283612,-0.27684104085748673,38
6093,0.7219570863477152,5,-0.446176838589742,3,2,11,0,4,1,-0.3002123014789703,-0.22296281257283612,1.180121556298252,21
7750,1.3061563565971845,4,-0.6839339670900121,9,0,11,1,4,1,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
9092,1.257842209099336,3,1.149704763144565,4,0,13,4,4,1,-0.3002123014789703,-0.22296281257283612,2.7989688864712954,38
26867,1.3061563565971845,3,0.9162040349634556,12,0,0,1,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
6904,0.7804433193933827,4,0.35659330642818315,13,2,3,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
2988,1.6226927637839295,3,-0.5217477832880916,13,2,14,0,4,1,3.204893827345987,-0.22296281257283612,0.6135249907376871,38
8622,0.20362252216473475,3,0.8261787006502482,9,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
13066,-0.7168854341795278,3,-0.23038478767202855,13,2,3,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
17758,0.7219570863477152,3,0.802860481997254,10,4,7,3,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
31285,0.13146279083665782,3,-1.723933175705103,10,2,6,0,4,1,-0.3002123014789703,-0.22296281257283612,1.584833388841513,38
1457,-0.4341337751256561,3,0.667084775875595,13,6,11,4,4,0,-0.3002123014789703,4.306557454478546,-0.034013941331530254,4
8118,-0.8179145118131231,3,0.5001374146703819,9,3,0,4,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,22
1339,0.6011557298060716,3,0.3253976902860377,11,4,9,1,4,0,-0.3002123014789703,4.384911393929112,-0.034013941331530254,38
8865,-0.5252236884566054,3,-0.03828531009403922,14,4,9,1,4,1,-0.3002123014789703,-0.22296281257283612,0.3706978912117306,38
26902,0.47486155198064567,3,0.2858543957114572,9,0,12,4,2,0,-0.3002123014789703,-0.22296281257283612,-0.43872577387479106,38
7678,0.05737857487379639,3,-1.094385170009592,13,2,7,0,1,1,-0.3002123014789703,-0.22296281257283612,-0.8434376064180519,2
32454,-1.0317117807033411,3,1.4195511658840416,10,4,7,1,2,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
22903,-0.177521295996111,3,0.021453960960081887,9,2,0,5,4,0,-0.3002123014789703,-0.22296281257283612,-1.6528612715045734,38
21898,-1.6516031067192836,3,0.7054554765289788,10,4,10,3,4,0,-0.3002123014789703,-0.22296281257283612,-1.976630737539182,38
1521,1.0557171988063494,4,0.7947316022808684,9,2,11,0,4,1,4.37970160330825,-0.22296281257283612,-0.034013941331530254,38
7393,0.05737857487379639,3,0.5995166415380238,9,4,4,1,4,1,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
